,label,sentence
107,anger,When friends try to put me down or hurt me.
3854,anger,I am usually angry at myself. This happens often. For instance when I want to pet without falling in love and it soon proves that I have fallen in love with him.
751,sadness,When an earlier friend was spreading negative rumours about me.
6879,anger,Bus conductor insulted me for not buying a ticket (I forgot).
6476,fear,I was walking alone along the place where people fear that there are always thieves there and the people who kill their friends during the night two months ago.
6058,fear,[ I do not recall one here either.]
6323,fear,When I was going to take the practical exams.
1216,fear,While preparing my master's thesis, I was scared that I would not accomplish anything as the subject was rather difficult.
3491,shame,My father died 4 years ago, 18 months after my mother died. I feld my sister was responsible for his death, in that she \hadn't loved him\. I felt ashamed for myself, and for my family.
4685,fear,When I broke the window pane of my next door neighbours house.
6023,fear,[ No response.]
6293,guilt,I felt very guilty when I tried to teach swimming to my younger brother, as I myself could not swim very well and my brother had started sinking to the bottom, however my elder brother saved him.
1033,guilt,I got 100 FIM too much when I changed money at the bank. They soon called me at my job and the situation was embarrassing for me.
6348,shame,[ No response.]
3666,anger,I invited two friends. We should go out together. Those two girls kept talking about boys, chatting up etc. I became sick of it.
7234,shame,Finding out that China does not have enough foreign currency to buy books.
2791,fear,In the real sense of the word I experienced fear in my first months in the army. During my first night of duty. The cause for all this was a bear. I became panic stricken (may be for the first time) and even forgot that I had a gun.
4410,guilt,I rejected a person whom I had always thought to be a friend. I told him so and he reacted angrily. I felt guilty at not having realized it before and at having hurt him.
2654,guilt,I promised to fulfill an errand. Later I understood it was impracticable. The explanation I gave was accompanied by a sense of guilt.
2889,sadness,When the man I loved decided to leave me forever.
5443,fear,Got ill.
1296,fear,I saw a man who had had a heart-attack and who was being treated for it. I feared that my own father could have been there.
2318,fear,When I was looking for a job I felt a lot of fear but the fear was greater when I found it.
2884,shame,I talked with a man who stammered and without controlling myself, I started to talk imitating him.
822,shame,Can't remember that feeling.
4634,guilt,When I was caught stealing mangoes in a certain compound.
1373,disgust,A gigantic spider climbed over my face and what is more - in my own flat.
1126,anger,When a friend of mine was drawn into a fight because of the stupid gang he belonged to. I felt angry with him and his friends. They could not think about anything sensible, but would fool around without taking into consideration the feelings of other persons.
3715,anger,When, late at night, I discovered that they had stolen my bike.
3960,fear,When I slept for the first time all alone in the house where I live now. A man phoned me at 2.00 am. He wanted something from me. I was afraid.
7391,shame,After I had given the wrong answer to my students they pointed it out to me and I had to correct myself.
1838,sadness,My uncle died - I felt sad at the funeral.
457,disgust,When I saw a T.V programme on animals in the film world (mistreated and used).
1753,anger,A friend of mine told other people that I was a slattern (because of an occurrence that had happened some time ago). When I heard about that I was very angry.
3915,joy,When I made the winning goal during a very important football game.
3103,joy,I was sitting for an exam in biochemistry, I was very excited because it was a supplementary examination. I passed the exam very well and was glad because I recovered my selfconfidence.
5470,joy,When my boyfriend and I made up.
4080,joy,When they told me that I had got a study grant.
2053,sadness,A friend of mine is having psychiatric problems because of his mother's death ages ago. He is really quiet and because it relates back to his childhood I feel sadness for him. He doesn't lead a normal life and it just seems unfair.
6070,guilt,[ No response.]
4125,joy,When I saw my 16 year old sister at home after having waited for her all night, not knowing where she was.
5409,disgust,I felt very disgusted at a friend to whom I had given a Psychology book to read, and she did not care to give me back the book during the exams.
4953,sadness,When my mother and father separated (it was a brief separation and they are together now).
7530,disgust,When I was studying in the library a pair of lovers were sitting next to me talking in an intense and soft voice. They were disturbing others.
1111,fear,When a big angry dog put its snout on my arm and had I made one movement it would have bitten me.
2281,guilt,I was driving my parents' car into a carpark in front of a shop we own, and scraped the corner of the front panel on the back corner of my father's utility. I didn't tell anyone, I lied about the bump (later I had to confess).
6718,shame,I was ashamed when I got the lowest result (mark) in class. All the same I didn't worry too much because I knew I would have got much better if I had read enough.
1055,fear,I had been watching a TV-program on paranormal phenomena. At night I could not fall off to sleep as I feared that humanoids were on the move.
2873,fear,This feeling I sensed quite recently. It was arisen by the terrific thought that I might lose the man I loved !
3680,anger,When my father took away my cherished diaries to burn them (I was also very sad) \Oh, how I hated him\.
2143,disgust,Doctors ignored relative who complained about pain, and is now dying of cancer.
1327,shame,While attending some affairs, which were taking some time, with a bank officer, I felt that my clothes and appearance were out of place, too ragged
2267,guilt,I once stole a shirt from the Department Store in which I work. I have been promoted to work in a very privileged section of the store. Their belief in my integrity makes me feel even guiltier.
162,shame,Can't think of any.
113,fear,When I drove to Stockholm for the first time and drove off the Story Hissingen road at the wrong exit.
980,anger,[ An unfair punishment.]
4673,sadness,This happened when one of my uncles died just when I was planning to go and visit him during the next holidays.
2121,guilt,We owned a shop and I used to serve in it occasionally. We sometimes took lollies out of the stand and Dad caught me one day.
2108,anger,When my sister lost my favourite jumper at a party and failed to tell me for several days after it happened.
5110,guilt,A girl dropped some stuff from her bag and when I tried to help her I realized that she had used me and I was made to look like a fool.
1266,anger,An utterance, which I had intended to be a joke, was taken as an offence In my opinion, this was stupid, and I got angry.
2620,fear,When I watched a horror film on a Friday 13th.
2480,disgust,To see damaged lettuce (with worms) in the icebox.
4714,anger,When I travelled all the way to my former school to collect my certificate, only to be told that I owed them some money, I knew nothing about this.
1574,disgust,No very strong such emotion. Treatment of my sister by her dancing instructor - he is a \user\, i.e., takes advantage of her good nature.
6560,fear,One time I was injured when I was playing football at School in Blantyre. I was brought to the hospital while my leg was totally swollen. The x-rays confirmed there was no fracture but collection of blood n the muscles. I feared when they started to incise the swollen part with surgical blade.
2752,disgust,I and my friends got acquainted with a guy from Sofia who turned out to be gay, but we found that out only after 2 or 3 days.
7514,anger,One day, I discussed a very important question with A. A suddenly declared that he would not accept my position and thought that he himself was right. Moreover, he attacked strongly, not my opinion but me personally.
2180,disgust,An acquaintance of mine revealed himself in a light unexpected to me.
1431,fear,On my way through lonely streets I met with a huge stray dog. It stopped at some distance and looked at me. I tried to ignore it but I was very frightened.
2397,joy,I made the college entrance examinations for P.U.C. It was what I wanted more. When the first list came out I got frustrated. I wasn't in. When the second list came out without hopes I started to read the newspaper and my name was three I was in the bus and felt like crying so that everybody could hear me. The cry was hold, and 1982 became forever a mask in my life.
5357,shame,When my cousin's wife refused him sex and claimed that she was my girlfriend I think that there is something wrong with the woman as I have never even thought of having sex with her.
6249,anger,Insulted by disgusting people.
5289,joy,When I heard that I had got the best result in school and would be definately selected to the university of Zambia.
2588,joy,When I passed the whole weekend with my boyfriend, coming back home on Sunday afternoon he met my parents for the first time.
4466,guilt,When I was very young, one day, I kicked my grandmother and caused her an injury which took a long time to heal.
2680,disgust,I caught a glimpse of a black-beetle.
2064,joy,I got a good reaction from my tutor and tutorial group for a presentation I'd given that I was very worried about.
7428,joy,I received a letter from a friend whom I was missing
635,guilt,I was living at home during the Summer vacations and towards the end decided to take some of my clothes and other belongings to the apartment in Guttenberg When I had finished I went to my ex-boyfriend's (relationship uncertain) home and stayed there till 5 A.M. I had to leave then as my parents needed the car for work in the morning. My parents do not like my boyfriend.
5164,shame,Every time I was around this one person I would stick my foot in my mouth by being nasty. One time I accident said something fairly cruel that was totally inappropriate.
1656,anger,When we still attended school, my brother and I usually went to see our aunt and to show her our term's report. She rewarded us with money. Although my reports were as good as my brother's, he got more money.
1912,anger,When the person I am going out with let me down in a situation that I was depending on them, and didn't show respect or care.
2805,fear,I was in the Korean War. We were attacked with mortars, me and companion. We stopped the jeep and ran for cover. Fortunately neither of us was hit but we both came close to being killed.
4881,fear,I was caught doing something I was not supposed to do. I did something with the person who caught me (bribe) and even though he promised not to report me, I am still frightened.
2065,fear,A man was yelling outside my window at 3.00 am, yelling threats, though not to me.
1867,shame,Once I went home totally drunk and roused all our neighbours from sleep.
4143,disgust,When I got to know the details if the famine in East Africa.
2663,fear,Late one night I was pursued by gipsies who had no good intentions.
116,disgust,When a dog is left whining outside a shop.
1764,guilt,With a group of handicapped people we went to a party. When we wanted to leave we were not able to find one of these people. I had told his mother that we would leave at 4.30 p.m., actually it was planned for 3.30 p.m. Therefore there was a delay.
6708,anger,Sometime back another girl who was in terms with my ex-boyfriend came to shout at me at twelve midnight. It was because she thought I was still interested in the boy.
6749,shame,When I refused to fetch water for my aunt while she was busy.
1198,disgust,When I heard about the advances an acquaintance of mine had made to my friends, who did not approve of them.
1201,joy,During lectures, I sensed an unexpressed understanding with a boy I did not know. We exchange glances ; I think he likes me, and I like him too. Perhaps he has fallen in love with me .........
3416,joy,Meeting best friend at the airport (boyfriend) who I had missed terribly.
1729,guilt,I quarreled with my boy-friend. He said it was unfair that I always started crying so that he had to give in.
595,disgust,During a movie in which I saw the effect of white settlers in Africa.
5123,shame,I took an exam which I failed terribly as I had not studied.
5912,joy,When I went for a picnic in Lonavala, I felt full of joy.
6731,fear,When I dream of anything terrifying I used to have fear for the rest of the day that the dream might come true e.g., being beaten (or eaten ?) by a snake.
1474,anger,I went singing with a group of young people on January 6th (The three Magi), a local custom called \star singing\. One of the girls, my girlfriend, broke the star. Being the accompanying person, I felt very angry thinking of the consequences.
5427,guilt,Telling my parents that I did not get into a good university.
3066,shame,I was at a children's camp abroad. The people (the leaders, my coevals) were very king to us. One night we smeared our foreign friends with tooth-paste while they were sleeping and then we roused the whole camp by our shouts. Later I was so sorry. I didn't utter a word for two days, then I went to apologize.
3376,anger,Friend (male) hinted that my talking to other men at a pub was immoral. He implied that I should remain only with my boyfriend the entire evening.
1439,anger,A friend called me and told me that she wanted to come and see me. She lived in a village at 50 km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her.
4239,anger,When males in my family try to assign house duties exclusively with reference to sex.
6628,guilt,[ No description.]
6847,shame,Saw the film about Eight Nations Army conquering Beijing.
3837,guilt,I saved up money for a good purpose. As I also have to organise a party I am afraid there will rest only a little money for the good purpose I feel guilty about this.
2395,shame,I went to study in a public library but I didn't know it well. I got a book and wanted to study hearing music. Then I went to a place were I could do it, but when I passed by a door a bell rang and a man came saying that I couldn't leave with the book.
4800,disgust,I saw a friend's husband with another woman.
372,sadness,When I was left alone one week-end without being prepared for it.
3482,sadness,Caused a family disturbance.
1891,fear,A car came very close to hitting me whilst I was crossing the street.
3607,sadness,I was forced to leave an unforgettable friend.
6891,joy,My friend told me he really likes me.
5769,disgust,I felt disgusted when I found out that someone had betrayed me. That person had been dishonest with me and I felt used.
1322,joy,When, after a long time, I saw a girl with whom I was in love.
5993,guilt,[ No response.]
512,sadness,[ No response.]
1396,guilt,When my boyfriend was away, I flirted with his best friend; I felt guilty the next day.
2312,anger,When they changed my office to another room without my agreement.
5680,shame,Fooling around with this guy I did not know.
651,fear,I woke up in the middle of the night as I had jumped and shouted with fear. I thought that someone's cold hand or something similar had touched my hand. I crept down under the covers and went back to sleep.
5990,sadness,At the death of my friend's father and especially as this happened ten days before her wedding.
2846,anger,Attitude to some manners of dealing and some \sanctioned\ relations.
2387,disgust,When I knew that a person who I didn't like, had about me other feelings.
3687,anger,A quarrel with my mother because I thought she said very unreasonable things about me, that hit me strongly.
1854,shame,During a discussion I said something rather stupid and unnecessary.
5434,guilt,I am not good enough to join any team to play sport for the class.
3396,fear,Being alone at night.
5986,guilt,When I could neither measure up to the expectations of the teacher nor to my own expectations in one of the assignments.
6124,disgust,In Punjab, when in the name of religion people killed each other during the agitation.
7233,disgust,Saw two Canadian students boasting about how rich they are in Canada.
1167,fear,[ Meeting some new (unpleasant) people or some new, demanding situation.]
2124,guilt,I had promised to do a task for someone that was close to me, and from the outset I knew it was important that I do it, but when it came to it, I let them down.
4071,shame,I was taking a shower in a cubicle in France. Then I discovered that a few children were looking at me from the adjacent cubicle.
6992,joy,Getting into this university.
687,anger,The sight of a man who ran amok (fighting) at a dance.
1073,shame,I had promised to lend something to my mother-in-law and I forgot it a couple of times. When she asked me about it the third time, I was ashamed at my absent-mindedness.
7133,anger,My roommate being unconsiderate.
1255,shame,When I realized that I had been wrong about a person close to me, because of preset ideas and prejudices.
5531,sadness,My grandmother died during Christmas break several years ago.
7120,sadness,Not being able to do well to be chosen for the English lecture.
6302,fear,When I did not get the compound which is known.
4281,anger,I was living in a flat where things did not go very well for me. Finally, they threw me out and this prejudiced people I esteem a lot.
6639,sadness,It was shocking news to me when I received a telegram from home telling me that my grandmother had passed away. I had to go home to attend the funeral but unfortunately I found that the burial had already taken place.
629,joy,When my love for a guy was returned.
3994,joy,When the girl with whom I am in love smiles at me.
6182,guilt,When I got low marks in the final year B.Sc exams, I felt guilty as I had not worked hard because I had been roaming around with my friends.
5203,sadness,[ When friends and colleagues talk bad about me.]
3328,sadness,My paternal grandmother had died. We weren't close but she was blood. I didn't cry but I was sad, partly due to her death and partly I think, due to the fact that I couldn't/didn't cry.
224,guilt,I saw a neighbours from the same apartment block as me, lying on the road. He could have been injured or ill. I kept 20 metres away and did not go to help him.
1875,guilt,I promised my mother to come home on her birthday, but at last I was prevented. Nevertheless it would have been possible to go but I did not.
2230,disgust,Being in a Malaysian city with my girlfriend coming out of a picture theatre - seeing her rush up to a taxi that a very old sick man was trying to get to. Seeing her take over the taxi.
5925,joy,When I passed the M.S.C board exams with first class, which I had not expected.
66,sadness,When I was not accepted as a student in finance and accounting.
6278,sadness,Lost a friend.
3706,joy,A fellow player, quite unexpectedly, scores a goal, which means a draw.
4230,joy,When I learned, after the ecography, that my mother was expecting a baby girl. That was what I wanted.
2808,disgust,Disgust at myself when I stroked a sleeping girl's private parts.
297,shame,When I did not buy what I had promised to.
7156,disgust,Saw someone acting in a false manner in public.
6679,fear,When I was travelling home by bus and suddenly the bus hit and the bus leaned against a wall.
175,disgust,Not applicable.
7642,disgust,A man sexually addressed a small girl in the bus but the girl did not dare to speak out.
1896,guilt,I borrowed money from a friend and did not pay back the debt when I said I would.
5094,disgust,When I found a maggot in my food at the dinning hall, all the food had gone bad.
4975,disgust,An officer at the Dean of students office had promised me to give me a room the next day, but he failed to keep his promise.
3845,joy,When I got my drivers licence
1640,joy,When I passed my final examination at school.
3624,anger,We lived with 3 persons in the loft of a house. It often occurred that other persons again and again climbed the stairs with much noise. When I was studying I couldn't concentrate and got angry.
5971,shame,As part of the assessment I had to speak on a subject in front of the class. I was not really prepared and I was just reading the stuff I had on a piece of paper, when some of the students asked me something I could not give them an answer. I felt ashamed as I had not prepared the topic.
4073,joy,A close relative of mine underwent a difficult operation, and everything turned out fine.
633,disgust,When my uncle comes (3 times a year) for the traditional Christmas dinner with my grandparents and other relatives and is very drunk.
3630,fear,My father was very angry with me, and I locked me up in the shower. Then my father knocked his fist through the door, I was scared to death.
7541,fear,I was on a trip to Philippines during Summer and I was staying in a hotel. The room I was staying in was very silent and had very dim lights. The last night I felt frightened and lay awake - I could hear some sounds around me and dared not open my eyes - I waited for dawn.
953,sadness,I had drunk a couple of beers and my fiancee got angry at me.
2128,sadness,When felt lonely about writing my family.
3217,guilt,This feeling of guilt really applies to moral/religious views. I (being Catholic) went against what I was brought up to believe in and had a sexual relationship with my boyfriend. Many months later, when I was doing some deeper self analysis I began to feel guilty and realized that I had gone against what I wanted for myself and my future.
3761,anger,When I arranged our holiday in Paris, and my girlfriend raised criticisms all the time.
5335,disgust,When I failed the entrance exam of the medical school and was studying biochemistry which has no job prospects in Zambia.
6332,sadness,A friend of mine was hospitalized after having been diagnosed as having typhoid, he had to forgo his exams and also his ambition of doing a dissertation at the M.A level. It was a very sad event for me and I felt very sorry for him so I volunteered to stay with him in the hospital.
1427,disgust,On a trip I passed by a cellulose factory. It was a fine day, beautiful landscape; I observed this factory with disgust.
21,joy,After my girlfriend had taken her exam we went to her parent's place.
639,sadness,When my ex-boyfriend and I separated.
4604,disgust,When I failed the grade 7 twice and only passed it the third time.
152,shame,My inability to assert myself positively in a group.
565,shame,I lied to someone and some time later this person found out that I had not told him the truth.
5906,fear,I had gone to the hospital for my research and got late in reaching home. I feared that when I reached home there would be a quarrel because of my being late.
4605,shame,I was going around with a foreigner's wife and my entire family got to know about it, this was just when I had become a Christian.
4538,fear,When I was at home alone, I felt a super-natural force, dangerous for me and the people close to me.
1367,shame,I had an intimate relation with my boyfriend, but unfortunately we had sexual problems; therefore I deceived him, but I was ashamed when I told my friend about it.
1948,sadness,Watching \11 am\. They had a programme on the starving refugees. Their plight was a source of sadness for me.
2515,disgust,Seeing persons spending money in a shopping center with completely indifference to the misery reigning in our country.
6715,anger,I was furious when the teacher pointed out in class that I was the quietest girl in class.
1223,fear,I was camping with a friend of mine and we spent the night in the forest. I could not fall off to sleep and could clearly hear noises from outside (steps ?) approaching our tent.
1647,joy,When I met my girlfriend again in another town after a long separation.
1689,fear,I had to go to the dentist's. When he touched my tooth with his drill, I was terribly afraid of the pain I would feel any moment.
893,guilt,Car accident, hurt three of my closest family.
5074,shame,When I went to the library three weeks after it had opened and found that everyone was busy.
3488,anger,I am one of four directors of a company. We inherited land held by our family - ours is the 5th generation. A \democratic\ decision was made to stap-bank an area of mangroves.
7297,fear,I was afraid that I would fail an examination.
859,joy,Getting the top price in the football pools.
5102,shame,When I failed the grade 7.
349,fear,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.
369,joy,When i was asked to be a child's godmother.
3059,shame,We were at a football match and when we were leaving the stadium (the stadium was packed with people) and I lost my shoe in the crowd. Our attempts to find it didn't give any result and I had to go home without one shoe. In other words to cross the whole town !
3580,disgust,A few days ago I saw two dandy girls of my age. I disliked their clothes and their way of doing.
2966,fear,Because of a conflict with my parents there was a possibility to interrupt my studies.
259,guilt,The time that I had to put my dog to sleep.
926,disgust,When a \friend\ dropped a frog down my neck, and I didn't know what it was.
4672,anger,When a cousin of mine took my bottle of T.B tablets, put water in it and threw it in the dust-bin.
2007,guilt,Carried out a vandalistic act on some windows at an old army location.
1252,anger,Disagreements with mother. When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance.
5012,guilt,When I was late for work and told my boss that it was due to transport problem, whereas the truth was that I had woken up late. I thus cheated my boss.
5529,fear,I confronted a bigger person than I and almost got into a fight.
4877,disgust,The day I went to eat dinner in the dinning hall and found a dead fly in my gravy.
6500,disgust,A condition in which I was disgusted followed when I lost money on my way home from the college.
2093,fear,When I was bringing in the shopping and nearly stood on a snake.
3753,fear,As a child I suffered of nightmares. Even since than, I have never been so anxious and fearful.
4003,anger,My father called me (behind my mother's back) and told me that my mother disapproved my behavior in the weekend. However, he didn't tell me the details and left me with unanswered questions.
4837,guilt,My baby sister was 2-3 months old and when I was trying to get her on my back, she slipped and fell.
1655,fear,Once I spent a night with a friend at the secondary school. We told each other horror stories and suddenly we heard uncanny noises. I was terribly frightened.
3937,guilt,I felt guilt towards my mother when I went to live on rooms in Nijmegen where I study.
7472,anger,I worked with several classmates on a project. I was very anxious about the project while my partners showed no concern and when we had meetings on the project my classmates did not pay any attention. Some of them read books while the others argued on irrelevant questions. The meeting would go on for two hours without the main theme being discussed. We wasted time and could not reach a compromise. My classmates avoided doing the work and the responsibilities, they seemed to value other projects more than this one.
7034,joy,First public speaking.
1990,sadness,At the funeral of a friend about 20 years old, who was killed in a hit-and-run motorcycle accident.
6465,sadness,It was in the evening when I heard that my girl went to Zambia and that she would never come back.
6545,joy,I felt joy when I heard over the radio that I had been successful in my Primary School Leaving Certificate Examination and was selected for Secondary School.
2094,anger,When I was accused of \bitching\ about best friend.
5209,anger,One night we, all the family members, were sitting in the front corridor of the house when a gentleman looking person came in. He was my father's client and he had come to bribe my father in connection with the proceeding case. At my father's refusal he abused my father, my brother and I could not control our temper and we rushed at him.
727,joy,I was in hospital, and then was visited by someone quite unexpected.
1440,sadness,When I was eight years old my father was run over by a car. When I saw his body I was sad beyond words.
1752,fear,I had climbed on a cherry tree alone and there was a thick caterpillar beside my fingers. I feel disgusted by caterpillars and snakes. I was terribly afraid of the caterpillar crawling on my fingers. Out of the fear I was almost unable to climb down.
1860,shame,When I broke the piggy bank of my brother and my mother discovered that.
6234,anger,We were just about to go into the Exam room and I didn't see all my writing materials plus the identification card from the place where I left them.
4973,anger,When someone took my pen away.
4751,disgust,When some people, including me, are treated in a way which equates them to an animal or a thing.
1932,fear,When my mother was angry with me over my friends and boyfriend.
2606,disgust,When I heard the bad news about the death of a close person.
797,fear,A letter from my boyfriend began in such a way that I thought he was going to end our relationship. I was afraid of reading the rest.
7395,anger,My classmate laughed at me when I was being scolded by the teacher.
720,joy,When my father managed to begin a \new life\ after the divorce from my mother; resulting in a new little sister for me.
5566,sadness,My friend who was in the Bago was kicked out of the sorority.
5907,anger,[ I feel angry when somebody is unjust to me.]
1119,anger,My friends promised me that they would definitely call me to tell me if they were visiting me or not.
394,disgust,A study visit to a chicken factory : the butchery, the smell, the environment and the noise.
609,shame,My mother told my uncle who is a Roman Catholic Priest (Redemptist Father) that I had been living in a de-facto relationship for three years. He was very, very angry at me.
3730,joy,I had a very pleasant conversation with one of my friends.
2879,joy,When I was admitted to the University.
4091,fear,When I was very young, one day, I was in the street with my father and brother. While my father was talking to some friends, I saw a dog and began to pat it. My father told me sharply to stop doing it because the dog had mange. Then my brother told me that I would die and I could not stop crying after this.
4192,disgust,When I see dead dogs on the road.
0,joy,During the period of falling in love, each time that we met and especially when we had not met for a long time.
1315,joy,I had been away from home for a long time and when I came home I was delighted. It was wonderful to see familiar, dear people and I was rejoining in advance. I had been feeling very lonely.
2667,shame,When I had to prepare and read a paper to my fellow students but I didn't cope with the task.
266,anger,When I missed the tram after having run for it.
7264,sadness,Lost my girl-friend.
3769,sadness,I suffer form a disease of my muscles. However, I cannot talk about it and my feelings, the consequence with my parents. They try to repress it.
1556,shame,When I went to the sauna for the first time and there were men and women.
3371,disgust,With a Manager who insists on making crude innuendos pertaining to sex.
7227,shame,China not doing well in the Asian Olympic games.
2365,guilt,When my father had a serious fight with my sister, because of me.
6404,shame,The shame came when I was beaten by my teacher at school in front of boys and girls some of whom were my friends and a girlfriend apart from being classmates.
4118,joy,When I saw that I had passed the university entrance exam. It made me forget all my problems.
2467,shame,When I went to a halloween party and had to walk through a shopping center dressed like a witch.
6002,fear,I was coming home from a relative's place and it was about 9.30/10 P.M. I felt slightly apprehensive when I got off the bus and started walking towards my place. I was confident that nothing would happen to me, yet there was this slight feeling of fear.
4752,shame,When someone I know was caught in an \adultery\ situation.
6995,sadness,A girl I love does not love me.
4968,disgust,I had prepared a special meal for my boyfriend but when my brother came home he ate it all. I was really disgusted about it.
6049,guilt,My mother misunderstood me and prevented me from doing something. In return I did not talk to her for a few days, only later on I realized that what she had done had been for my good.
7449,joy,When I was admitted to the Chinese university
1331,anger,The last day of school is traditionally celebrated by singing a song about all the students who are leaving. In the song about me, there were things which irritated me a lot.
5685,sadness,I asked a girl out on a date and she said no.
808,shame,Was accused of having hidden intentions in a situation when I believed I was acting honestly and fairly.
7648,sadness,When I was in primary 6, my father died. I was very young then and did not know what had happened. The weeping of my relatives and my tears made me sad.
5571,fear,A certain night during initiation.
649,guilt,[ Can not think of anything.]
6540,anger,It was at Malawi Army, Dormer Squadron, when some of my workmates got promoted to Sargent (sgts); we were having similar Ranks.
3444,joy,I did a solo flight from Armor to Kaikohe before I got my pilot licence I can remember it was gorgeous day and I was on a natural high, cruising up the coast with my maps and compasses and gear. Other pilots had seen me off and wished me good luck and it was a real adventure.
6136,anger,A few days back a friend of mine poked me in the ribs for fun's sake, though I had warned him an infinite number of times that it really hurts me, he did it again. I usually ignore this but this time I flared up for a split second and threatened to bash him up. This is the latest incident when I lost my temper, though I felt very bad about it later.
1095,guilt,My mother told me that the envelopes that I had been tearing (I had torn the stamps away) in good faith had been the first-day envelopes which my father had collected as a young man.
5359,joy,When the Cambridge results came out and I obtained a first division. I had been thinking that I had not done very well.
4878,shame,I felt ashamed of myself the first time I drank as nobody in the family drinks. I felt that I had let down my parents and my friends.
7201,joy,Going to see a good film with my best friend.
6367,sadness,I had a girlfriend who lived several kilometers away from my home. One day she wrote me that she'd visit me. On her way she had a car accident and was badly injured. I was very sorry to see her lying in a bed in the hospital.
798,anger,My nephew is a deaf and also \hyperactive\ boy. I had been responsible for looking after him for a full day, and was very tired. Then he suddenly grabbed a knife and stabbed me in the leg. I got so angry that I didn't feel any pain.
1830,anger,A friend had promised to get me a book which was very important for my work, but she forgot it.
686,fear,After mischieviously ringing on the chemist's trade-entrance doorbell and getting caught by him.
5894,sadness,[ When my elders do not understand me in the right way.]
2785,anger,I have a friend that I deeply trusted but it happened that I lost my confidence in her for which she herself was to blame.
2050,joy,Eating biscuits and drinking Milo (Chocolate energy drink made with milk and usually drunk warm) with my friend at College. We get on really well, don't withhold any feelings about each other's friends and are pretty good at cheering each other up when we are homesick.
6522,shame,When a certain girl I believed to be my life partner refused an engagement.
3970,disgust,I saw a dog who was eating excrements.
2485,anger,I don't use to lie to my parts about what I do, and the two times that I felt anger were when they doubted me I said that I was going to the club, and they didn't believe me because the day before they had met me at FLIPERAMA. I had the wish to kill them.
921,guilt,Not helping parents enough at home and at the farm - this has happened many times.
2422,disgust,When I felt the smell of industries that pollute.
4889,anger,I was asked to stop studying economics, a field which interested me, by my employers.
4240,sadness,I had a quarrel with my boyfriend and decided to finish with him and and my Easter holidays.
6822,fear,I had fear of my father (parents) when I first became pregnant. I was afraid of delivery itself and whether I would give birth to a stubborn or a baby.
3042,joy,When I knew that my husband and I were going to have a child.
6705,guilt,I cheated my boyfriend.
7166,joy,Going to a concert.
2088,sadness,Thinking about friends overseas.
4917,anger,At boarding school someone put a lot of tiny thorns on my bed. When I complained everybody began teasing me and laughing at my inability to find out my enemies. I lost my temper.
2651,sadness,Getting separated from my family for a week caused me a sense of sadness.
2723,joy,That was what I felt when I was finally accepted in the Bulgarian Conservatoire after I had applied a couple of years.
1976,sadness,At rejection / being ignored by a loved person held in great esteem.
4595,anger,A certain friend tried to push me off a seat in a very violent way for no apparent reason. It may be that he was excited about something.
2008,joy,Arriving in New Zealand as a teenager - first overseas trip - something \exhilarating\ about the change of scenery etc.
7287,shame,I had obviously done the work badly but my class-mates of the student's association did not blame me, they helped me do the work.
300,fear,My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.
6778,guilt,I felt guilty the other day because I took two pieces of bread instead of one in the Cafeteria and some of the girls were short of bread.
5968,anger,One of my friends asked me to go shopping with her, another friend of hers was also coming along. During the outing they kept talking to each other and I felt left out, even when I tried to talk to them they seemed not to listen to me and did not pay me much attention.
6931,shame,Arguing about price with private shop-assistant.
7007,fear,Earth crake
3550,fear,At the age of 12 years I always had to take care of my little brother and sister I never could sleep then. I always imagined creepy men sneaking into our house.
3519,shame,I was amongst a group of people talking about how the Maori people were stirrers and causing trouble in our country. I felt shame to be a pamela when other pakehas had such narrow conservative views.
6895,disgust,When I was the South Koreans on the TV.
6359,anger,I felt angry when my only pair of trousers was stolen and could not be able to find out who the thief was or anyone who knew about the story.
3516,anger,I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation.
3237,shame,NO RESPONSE.
6120,joy,When India first won the world cup cricket tournament.
5548,guilt,When I did not go to work because I had to study for a midterm.
719,guilt,I hit my little sister on the head with a stone while we were fighting.
4865,guilt,When my aunt went out of her way to help me out with my financial problems.
1956,disgust,Disgust with oneself after being intoxicated enough to go to bed with a stranger.
4959,anger,When I could not reason my friend, it angered me.
1507,joy,A friend of mine often had difficulties with her parents. Once she had a child she had a better relationship with them.
564,disgust,When I went home by train from Sicilian I was molested by a man.
7260,guilt,Not getting an airplane ticket fot my mother.
3152,joy,I felt the greatest burst of joy when after being heavily ill for a long period, my father came back home.
4580,fear,When my brother hit his head and lost consciousness at the sports practice. For some time he could not remember what had happened but he recovered later.
1962,sadness,When I left my sister's house after staying there for a few days. She has two little boys, and they are very warm people (the family). At the time, I was in need of this sort of contact, and I grew very fond of children (no, I'm not a paedophiliac).
6055,shame,I remember that once, a friend did not co-operate with me due to some unavoidable reasons. Unaware of this I treated her unjustly till I realized everything, and then I felt ashamed of my deeds.
